Name,ra,dec,teff,eteff,logg,elogg,F,eF,vsini,evsini,RHKp,dRHKp,vsinflag,snr,RVflag,metflag
CD-254253,108.602979,-25.69176,5218.5,50.0,3.239,0.095,-0.09,0.044,3.986,0.407,7.822302629473855E-6,1.1192940960722002E-6,0,40.732061491328096,0,0
CD-261407,56.004513,-26.53725,6354.9,84.157,4.266,0.162,-0.21,0.073,5.553,0.67,6.978792519737981E-6,2.385733642921189E-6,0,36.950417228136054,0,0
CD-2616866,0.039185,-25.32414,6407.1,50.0,4.166,0.144,-0.08,0.06,5.486,0.396,5.795734238493095E-7,2.523434230102247E-6,0,42.14356415871823,0,0
CD-2616866B,0.0388,-25.324235,6441.1,67.261,4.439,0.154,-0.03,0.062,4.863,0.507,1.1284260115244886E-5,1.8148097635784118E-6,0,41.966787463421596,0,0
CD-281745,71.844801,-27.83915,5008.5,246.88,3.993,0.565,-0.48,0.045,4.554,1.172,1.9091071483261056E-4,3.015798511692849E-5,0,162.82629186814214,0,0
CD-287411,143.6778215,-29.003770000000003,7235.2,300.0,3.931,0.457,0.46,0.224,2.0,0.0,1.3204493244875265E-4,0.0019974923935066656,1,23.225,0,0
CD-3010313,196.274181,-31.43637,5500.0,50.0,4.36,0.01,0.0,0.1,2.0,0.0,1.576647231729855E-5,5.306193412162124E-7,1,106.96279939560978,0,0
CD-301812,66.370445,-30.59941,5500.0,50.0,4.36,0.01,0.0,0.1,2.0,0.0,8.551795140209341E-6,2.5963640044474866E-7,1,222.00741869020587,0,0
CD-3019757,359.561629,-29.608449999999998,6437.5,146.124,4.512,0.093,-0.18,0.134,8.0,1.394,7.320206053090615E-6,2.4272190793250723E-6,0,103.12275019190893,0,0
CD-306015,124.61329,-30.65825,5156.2,50.0,2.816,0.082,-0.12,0.045,6.795,0.374,1.0684215553130093E-5,6.631381301825652E-7,0,90.22760202214546,0,0
CD-3110766,208.9278295,-32.16086,6421.5,65.8,4.342,0.149,-0.07,0.058,6.429,0.368,9.288317930075743E-6,1.8724856231527399E-6,0,48.68430188469379,0,0
CD-3114532,266.677194,-31.45932,5222.0,50.0,2.97,0.133,-0.07,0.047,6.543,0.371,2.496690779530108E-5,8.024263002699763E-7,0,44.97558596987185,0,0
CD-3114549,266.767281,-31.5552,5239.9,50.0,3.087,0.115,-0.09,0.046,6.286,0.413,5.376551247570244E-5,0.002436994657637146,0,39.49075841257041,0,0
CD-321952,70.998804,-31.907935000000002,5837.5,50.0,4.472,0.063,0.02,0.046,3.997,0.328,4.381819629748762E-6,4.357958316496402E-7,0,175.1124083786806,0,0
CD-3315536,320.74206300000003,-32.488365,6330.4,50.0,4.9,0.01,-0.0,0.1,2.0,0.0,3.879195160953272E-5,7.865998440656912E-7,1,251.75154484795783,0,0
CD-332771,92.569721,-33.35576,4261.5,279.886,1.333,0.448,-0.6,0.063,6.094,1.174,4.571920171989858E-6,2.4995740559221235E-6,0,72.29207771256822,0,0
CD-337795,172.98111,-34.605725,5239.3,50.0,3.942,0.01,-1.15,0.1,2.0,0.0,4.303475355319033E-4,0.029757009278624062,1,23.652721830690016,0,0
CD-3415399,331.3594965,-34.142044999999996,6067.3,66.998,3.978,0.137,-0.05,0.056,5.95,0.48,1.6017721375647408E-5,1.2460129526934659E-6,0,37.12310601229374,0,0
CD-341735,67.986005,-34.456775,6069.2,50.0,4.537,0.047,-0.07,0.051,4.282,0.267,3.8982268693681995E-6,4.56249863773959E-7,0,182.89918021959528,0,0
CD-34677,25.9697,-34.14867,4600.9,50.0,2.605,0.6,-0.68,0.056,4.335,1.209,2.2038350512125334E-5,3.6775721661732498E-6,0,63.05,0,0
CD-348236,187.995109,-35.55524,5258.5,50.0,4.454,0.053,-0.31,0.047,2.117,0.215,1.5008527624904087E-5,4.210288547220194E-7,0,373.93052434514755,0,0
CD-348618,196.0432,-35.55013,7081.0,129.061,4.05736,0.0835503,0.0,0.5,2.0,0.0,2.8491699849886314E-5,1.658597145985781E-5,1,174.55288933864884,0,1
CD-35983,42.738606,-34.82431,6229.3,50.0,4.296,0.061,-0.27,0.056,4.722,0.49,1.7408735932993564E-6,1.0539926837696927E-6,0,127.38333333333333,0,0
CD-361818,69.704353,-36.682995000000005,5556.5,50.0,4.406,0.06,0.06,0.044,3.414,0.226,1.5065240368376865E-5,4.3470184698098535E-7,0,156.88981802526254,0,0
CD-371123,45.197622,-37.13206,5484.5,50.0,4.318,0.111,-0.23,0.048,4.109,0.437,8.262141745306049E-5,2.333978563368035E-6,0,56.674608512101784,0,0
CD-381059,48.12772,-38.087955,5358.7,106.306,3.57,0.229,-0.42,0.048,3.006,0.83,1.1725920461185622E-5,6.403143327651431E-7,0,92.91383104791234,0,0
CD-381467,62.96688,-37.9404,5623.2,50.0,4.9,0.01,-0.07,0.1,2.0,0.0,6.49967856831953E-5,1.5192975225679836E-6,1,200.45030172473793,0,0
CD-383754,118.073775,-38.55673,5321.6,50.0,3.072,0.128,0.16,0.053,7.905,0.338,1.2228340178424169E-5,7.707478191874227E-7,0,77.07726318441775,0,0
CD-395833,146.83582,-40.05198,5524.3,50.0,4.9,0.01,-0.37,0.1,2.0,0.0,1.1952132252414469E-4,3.034404552591812E-6,1,91.91416285498843,0,0
CD-397570,184.8373815,-39.858850000000004,5423.9,50.0,4.561,0.062,-0.15,0.046,4.153,0.227,3.7331683348566825E-5,9.604956523455207E-7,0,157.79765524240213,0,0
CD-397945,194.467719,-39.75934,5550.1,50.0,4.458,0.047,-0.11,0.046,2.883,0.223,7.992355027335082E-6,2.0632602175070006E-7,0,472.6131568559358,0,0
CD-408434,212.0426515,-41.397994999999995,4117.0,121.51,4.0962,0.109568,0.0,0.5,2.0,0.0,0.001595661867706345,0.059118190700635245,1,107.98154400708414,0,1
CD-4113726,297.93491700000004,-41.04957,5265.4,50.0,4.359,0.083,-0.73,0.053,2.338,0.425,6.666559875992109E-6,7.364284219321093E-7,0,74.21085668552816,0,0
CD-415929,157.868059,-42.24252,5742.2,50.0,4.34,0.061,0.04,0.044,3.794,0.248,2.9660571212664038E-6,3.620493264065294E-7,0,206.01224108838986,0,0
CD-4215773,331.8685025,-41.816155,6100.6,50.0,4.41,0.051,-0.15,0.052,3.856,0.284,7.856063044636634E-6,2.8640152873942605E-7,0,322.9003116288369,0,0
CD-426963,171.317406,-43.24029,4698.3,50.0,2.562,0.077,-0.16,0.043,3.75,0.56,1.6323630530164165E-6,2.554729533177148E-7,0,79.07016775353033,0,0
CD-426976,171.41182700000002,-43.233155,4921.3,50.0,2.875,0.084,-0.16,0.042,4.498,0.479,4.410444374426249E-6,2.856454775259545E-7,0,140.48587181126587,0,0
CD-426977,171.408879,-43.26895,4720.4,50.0,2.656,0.079,-0.05,0.043,4.276,0.507,1.491603796189093E-6,1.8546321533074668E-7,0,112.05831815026792,0,0
CD-431451,67.616822,-42.81233,6450.9,50.0,4.892,0.01,-0.22,0.1,2.0,0.0,3.2217858544654596E-4,2.5925777988571128E-5,1,32.7,0,0
CD-438016,195.640576,-43.961420000000004,6334.9,50.0,4.039,0.085,-0.07,0.061,7.175,0.508,1.2686936995878495E-6,1.7538323453626374E-6,0,83.91543610484706,0,0
CD-4414956,338.399953,-43.43818,5322.7,50.0,4.4,0.083,0.2,0.043,3.143,0.309,6.277278312099569E-6,3.662457030475195E-7,0,133.19877508524812,0,0
CD-44327,17.507144,-44.270595,5358.5,300.0,3.438,0.119,-0.12,0.167,2.0,0.0,1.7218430715962225E-5,3.3550959012295177E-6,1,32.8027501387714,0,0
CD-445997,148.743947,-45.29133,7064.0,130.663,3.60322,0.0855899,0.0,0.5,2.0,0.0,6.049885630732379E-7,2.21862052276353E-5,1,363.41128106395576,0,1
CD-452997,107.870945,-46.19858,4443.1,50.0,4.895,0.01,-0.83,0.1,2.0,0.0,6.286802797695023E-6,3.9907620205177747E-7,1,66.68735824727203,0,0
CD-461064,52.704695,-45.93311,4752.6,50.0,4.899,0.01,-0.3,0.1,2.0,0.0,1.2287956447348884E-4,6.799119355479935E-6,1,269.5048801687692,0,0
CD-461323,62.61864799999999,-45.90015,5500.0,50.0,4.36,0.01,0.0,0.1,2.0,0.0,6.266128008930579E-6,2.562162608375464E-7,1,174.20076693970364,0,0
CD-461408,66.382225,-46.21927,6461.1,50.0,4.898,0.01,-1.01,0.1,2.0,0.0,2.1174018285812677E-5,2.4008361773494737E-6,1,224.80192114392622,0,0
CD-471026,50.3431645,-46.89004,6048.2,50.0,4.459,0.061,-0.49,0.062,3.511,0.871,1.3027770412875326E-5,1.0928697968034612E-6,0,52.675,0,0
CD-487349,185.07820750000002,-48.94613,4826.7,52.976,4.088,0.11,0.01,0.049,2.932,0.292,4.584580730534659E-5,5.202785226612384E-6,0,24.465894629054542,0,0
CD-4911399,261.139842,-49.91691,4550.2,56.816,2.457,0.136,0.07,0.044,4.205,0.418,5.120035896209734E-6,5.116815624550406E-7,0,70.92807624629333,0,0
CD-4911401,261.17440999999997,-49.985344999999995,4982.5,50.0,2.821,0.095,0.02,0.043,4.17,0.485,5.245392687236857E-6,6.086465297275005E-7,0,151.42702973159493,0,0
CD-4911402,261.19691,-49.90228,4817.2,50.0,2.806,0.088,-0.0,0.043,3.809,0.487,5.235617430001217E-6,3.5848017760441457E-7,0,133.55208721693572,0,0
CD-4911404,261.210365,-49.949315,4694.2,50.0,2.647,0.087,-0.02,0.043,3.842,0.516,4.359952814707269E-6,3.208086242652322E-7,0,188.87916343095762,0,0
CD-4911405,261.201359,-49.76392,4727.0,50.0,2.607,0.112,-0.52,0.047,3.165,0.657,-1.3004917600480584E-5,7.19895470634025E-6,0,21.3,0,0
CD-4911410,261.242535,-50.025695,4799.4,50.0,2.698,0.089,-0.04,0.042,4.306,0.509,5.357408338848951E-6,3.698131097988062E-7,0,108.23134365792562,0,0
CD-4911413,261.2677285,-49.974305,5173.7,50.0,3.038,0.074,0.03,0.043,4.817,0.441,2.7357867962437863E-6,8.185763437271542E-7,0,88.19389328349213,0,0
CD-4911415,261.22762,-49.885715000000005,4520.0,50.0,2.324,0.099,-0.07,0.043,3.864,0.453,3.3902048221490372E-6,2.8848313347396717E-7,0,144.52185769959223,0,0
CD-50524,28.107764,-49.535135,6273.0,50.0,4.439,0.055,-0.08,0.053,4.505,0.313,4.29284813333602E-6,5.881086812469866E-7,0,304.7179049664507,0,0
CD-50714,36.775782,-50.285685,6099.9,50.0,4.433,0.047,-0.18,0.053,2.818,0.374,7.491577516638517E-6,2.7175178338889717E-7,0,392.6946101749617,0,0
CD-52381,28.061877000000003,-52.326544999999996,4751.0,129.638,4.41247,0.0943743,0.0,0.5,2.0,0.0,1.1707152595118745E-4,1.816541595949192E-5,1,118.86464991745862,0,1
CD-52862B,62.26313,-51.88605,6779.9,50.0,3.732,0.01,-0.61,0.1,2.0,0.0,7.782109207556284E-5,9.982961647786985E-6,1,26.1,0,0
CD-535815,225.726365,-54.21479,4768.1,50.0,2.528,0.098,-0.06,0.043,4.284,0.548,6.6208960213677235E-6,4.6683107577764156E-7,0,104.26289488595641,0,0
CD-535820,225.816129,-54.27816,4756.9,50.0,2.456,0.088,-0.09,0.043,4.303,0.562,4.429901734285997E-6,2.8647846014358424E-7,0,168.9876295690558,0,0
CD-535829,225.960485,-54.242345,5349.7,50.0,3.155,0.097,-0.1,0.044,4.247,0.447,5.3940106540080335E-6,4.0718621339931553E-7,0,144.1932961918364,0,0
CD-536474,243.237625,-54.22177,4420.8,240.255,3.254,0.209,0.48,0.129,2.0,0.0,-1.5578613343213803E-6,7.921506789256689E-5,1,113.6593352963143,0,0
CD-546002,226.128363,-54.59789,5144.2,50.0,3.036,0.07,-0.04,0.043,4.26,0.428,6.827044502501749E-6,7.874584503897432E-7,0,81.05448123682878,0,0
CD-546003,226.127864,-54.53009,4563.3,50.0,2.227,0.123,-0.04,0.044,4.405,0.448,5.241653089590394E-6,4.674475151220352E-7,0,105.16861461481747,0,0
CD-561068,75.41955,-56.80483,4296.2,300.0,1.11,0.566,-0.82,0.068,4.888,1.379,3.88625572467872E-6,2.3927174392706506E-6,0,83.3,0,0
